/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,project
20701,151,20701
20701,152,20702
20701,153,20703
20701,154,20704
20701,155,20705
20701,156,20790
20701,157,20720
20701,158,20721
20701,159,20722
20701,160,20723
20701,161,20791
20701,162,20725
20701,163,20726
20701,164,20727
20701,165,20728
20701,166,20729
20701,167,2072A
20701,168,2072B
20701,169,2072C
20701,170,2072D
20701,171,2072E
20701,172,2072F
20701,173,20747
20701,174,20748
20701,175,20749
20701,176,2074A
20701,177,2074B
20701,178,2074C
20701,179,2074D
20701,180,2074E
20701,181,2074F
20701,182,20752
20701,183,20792
20701,184,21668
